name,salary_from,salary_to,salary_currency,area_name,published_at
Системный аналитик,,,,Москва,2022-12-17T16:44:56+0300
TeamLead группы администрирования Windows инфраструктуры,,,,Москва,2022-12-17T10:03:37+0300
Фрезеровщик,80000,,RUR,Самара,2022-12-17T08:59:35+0300
Стажер-журналист на радиостанцию,,,,Тверь,2022-12-17T17:49:24+0300
Механик по ремонту и обслуживанию грузоподъемной и дорожно-строительной техники,70000,,RUR,Самара,2022-12-17T11:10:53+0300
Оператор станков с ПУ,45000,65000,RUR,Сарапул,2022-12-17T12:18:14+0300
Специалист поддержки CRM,,,,Москва,2022-12-17T12:09:54+0300
Специалист отдела программно-технического обеспечения,24000,40000,RUR,Ростов-на-Дону,2022-12-17T09:33:37+0300
Токарь,106000,126000,RUR,Брянск,2022-12-17T12:05:23+0300
Руководитель интеграционных проектов,80000,,RUR,Ростов-на-Дону,2022-12-17T21:25:36+0300
Web-программист Full Stack (ГИС),,,,Москва,2022-12-17T23:17:09+0300
Токарь,106000,126000,RUR,Волгоград,2022-12-17T12:05:23+0300
Инженер по КИП и автоматике,70000,75000,RUR,Ростов-на-Дону,2022-12-17T14:34:29+0300
Программист -консультант 1с,50000,,RUR,Санкт-Петербург,2022-12-17T14:21:47+0300
Middle Программист-разработчик AI / Data scientist / NLP Developer (Обработка естественного языка),,,,Краснодар,2022-12-17T16:10:59+0300
Product owner,265000,400000,RUR,Воронеж,2022-12-17T14:32:12+0300
Automation QA engineer (Python),,250000,RUR,Москва,2022-12-17T16:01:23+0300
Фрезеровщик,35000,70000,RUR,Нижний Новгород,2022-12-17T13:27:05+0300
Токарь,106000,126000,RUR,Пенза,2022-12-17T12:05:23+0300
Директор по информационным технологиям операционного блока (г. Владимир),,,,Москва,2022-12-17T22:58:48+0300
Токарь,106000,126000,RUR,Оренбург,2022-12-17T12:05:23+0300
Фрезеровщик,70000,,RUR,Москва,2022-12-17T15:38:11+0300
Middle QA backend инженер,,,,Санкт-Петербург,2022-12-17T15:09:53+0300
Председатель Правления товарищества собственников,,,,Минск,2022-12-17T13:25:25+0300
Аналитик DWH,,,,Москва,2022-12-17T20:58:49+0300
Аналитик бизнес-процессов,,,,Москва,2022-12-17T07:58:26+0300
QA Engineer (Backend),,,,Киров (Кировская область),2022-12-17T11:10:18+0300
Оператор станка с ЧПУ,65000,,RUR,Липецк,2022-12-17T15:37:53+0300
DevOps-инженер (Middle+/Senior),,300000,RUR,Москва,2022-12-17T16:01:29+0300
Инженер-математик,,,,Москва,2022-12-17T23:17:08+0300
Программист,,,,Тула,2022-12-17T14:34:38+0300
Программист 1С,90000,,RUR,Иркутск,2022-12-17T10:37:21+0300
Инженер IT,52000,,RUR,Нижневартовск,2022-12-17T10:03:32+0300
Токарь,63000,,RUR,Екатеринбург,2022-12-17T12:17:10+0300
Токарь,106000,126000,RUR,Калуга,2022-12-17T12:05:23+0300
Системный администратор- главный специалист- эксперт,35000,50000,RUR,Барнаул,2022-12-17T10:04:21+0300
Дизайнер-конструктор мебели,50000,120000,RUR,Псков,2022-12-17T18:26:55+0300
Инженер-электроник,213000,,RUR,Улан-Удэ,2022-12-17T12:22:59+0300
Дизайнер интерьеров,,,,Черкесск,2022-12-17T11:14:28+0300
Механик по транспорту,39000,,RUR,Балаково,2022-12-17T12:21:52+0300
Токарь 4 разряда (механический участок),80000,,RUR,Новомосковск (Тульская область),2022-12-17T14:01:05+0300
"Программист 1C (гибридный, удалённый режим работы)",200000,,RUR,Москва,2022-12-17T14:05:34+0300
Оператор-наладчик станков с ПУ,40000,70000,RUR,Нижний Новгород,2022-12-17T13:28:50+0300
Токарь,106000,126000,RUR,Казань,2022-12-17T12:05:23+0300
Системный администратор (СУБД Oracle/СУБД PostgreSQL),,,,Москва,2022-12-17T10:07:04+0300
.NET Developer,,,,Томск,2022-12-17T04:54:04+0300
Специалист технической поддержки,,40000,RUR,Нижний Новгород,2022-12-17T12:18:26+0300
Графический дизайнер,,,,Алматы,2022-12-17T08:10:07+0300
Токарь,106000,126000,RUR,Самара,2022-12-17T12:05:23+0300
Токарь-расточник,20000,30000,RUR,Сарапул,2022-12-17T15:39:36+0300
"Инженер по внедрению (межсетевые экраны, VPN)",,,,Казань,2022-12-17T20:57:25+0300
Инженер по сервису и гарантии,200000,,KZT,Актобе,2022-12-17T10:05:06+0300
Android разработчик middle,,,,Краснодар,2022-12-17T22:28:01+0300
Компьютерный мастер,70000,,RUR,Пенза,2022-12-17T10:27:57+0300
Токарь,,,,Мирный (Республика Саха (Якутия)),2022-12-17T10:47:21+0300
Аналитик,,,,Москва,2022-12-17T09:02:57+0300
Инженер технической поддержки,,,,Санкт-Петербург,2022-12-17T20:57:30+0300
Мастер по ремонту бытовой техники,40000,70000,RUR,Ростов-на-Дону,2022-12-17T12:32:23+0300
Программист 1С,,90000,RUR,Ставрополь,2022-12-17T11:15:26+0300
Токарь,106000,126000,RUR,Тюмень,2022-12-17T12:05:23+0300
Токарь,106000,126000,RUR,Воронеж,2022-12-17T12:05:23+0300
Токарь,106000,126000,RUR,Пермь,2022-12-17T12:05:23+0300
Токарь 4 разряда (механический участок),80000,,RUR,Тула,2022-12-17T14:01:05+0300
Инженер Linux,,,,Казань,2022-12-17T20:57:25+0300
Архитектор 1С,,,,Москва,2022-12-17T01:36:08+0300
Токарь,106000,126000,RUR,Тверь,2022-12-17T12:05:23+0300
Специалист технико-комплектующего отдела,50000,80000,RUR,Пермь,2022-12-17T09:51:22+0300
Механик по ремонту и обслуживанию дорожно-строительной техники Doosan,50000,100000,RUR,Владивосток,2022-12-17T05:54:43+0300
Senior Product Analyst,,,,Санкт-Петербург,2022-12-17T17:52:39+0300
Токарь,106000,126000,RUR,Ижевск,2022-12-17T12:05:23+0300
Мастер по обслуживанию абонентов,25000,,RUR,Рузаевка,2022-12-17T21:39:10+0300
Business Development Manager,,,,Москва,2022-12-17T18:55:40+0300
Middle DevOPS-инженер,150000,,RUR,Ростов-на-Дону,2022-12-17T15:33:17+0300
Токарь,65000,,RUR,Набережные Челны,2022-12-17T11:52:22+0300
Backend developer (Node.JS),160000,210000,RUR,Москва,2022-12-17T09:03:23+0300
Старший специалист группы поддержки,,,,Ставрополь,2022-12-17T12:09:37+0300
Старший механик по ремонту и обслуживанию грузоподъемной и дорожно-строительной техники,100000,,RUR,Владивосток,2022-12-17T17:53:11+0300
Выездной мастер по ремонту холодильников,50000,,RUR,Великий Новгород,2022-12-17T05:58:36+0300
Инженер-электроник,34606,34606,RUR,Пятигорск,2022-12-17T20:53:56+0300
Токарь,106000,126000,RUR,Рязань,2022-12-17T12:05:23+0300
Руководитель интеграционных проектов,80000,,RUR,Таганрог,2022-12-17T21:25:23+0300
Токарь,106000,126000,RUR,Смоленск,2022-12-17T12:05:23+0300
Программист 1С (БП и ЗУП),,,,Москва,2022-12-17T12:08:18+0300
Ведущий программист,100000,,RUR,Санкт-Петербург,2022-12-17T15:42:14+0300
Инженер по автоматизированным системам управления технологическими процессами (дежурный),,,,Иркутск,2022-12-17T12:22:59+0300
Оператор станков с ПУ 5 разряда,60000,,RUR,Воткинск,2022-12-17T15:41:14+0300
Фрезеровщик,42000,,RUR,Миасс,2022-12-17T14:31:21+0300
Токарь,106000,126000,RUR,Курск,2022-12-17T12:05:23+0300
Программист-разработчик,,,,Пенза,2022-12-17T17:53:31+0300
Ведущий инженер по защите информации,,,,Санкт-Петербург,2022-12-17T17:52:04+0300
